member,region,comment_count,top_category,visual_score,talent_score,personality_score,love_score,top_words
릴리,한국,105,love,26,24,6,31,"릴리, 릴리는, 엔믹스, 최애가, 그게"
릴리,영어권,85,talent,31,45,11,19,"lily, haewon, nmixx, sullyoon, looks"
해원,한국,128,visual,24,20,7,20,"해원이, 오해원, 해원, 금발, 지우"
해원,영어권,96,visual,35,24,9,17,"haewon, jiwoo, blonde, lily, sullyoon"
설윤,한국,177,love,23,19,9,27,"설윤, 설윤아, 설윤이, 대전의, 설윤아가"
설윤,영어권,90,talent,25,29,15,19,"sullyoon, beautiful, haewon, love, lily"
배이,한국,30,love,8,12,2,16,"배이, 릴리, 엔믹스, 예쁘다, 배이가"
배이,영어권,65,talent,20,23,7,18,"bae, kyujin, dance, haewon, really"
규진,한국,61,love,7,11,7,12,"규진이, 지우, 규진, 규진이가, 예쁘다"
규진,영어권,45,talent,12,19,14,11,"kyujin, bae, jiwoo, haewon, cute"
지우,한국,150,personality,17,11,23,21,"지우, 김지우, 지우가, 지우는, 릴리"
지우,영어권,86,visual,21,7,19,8,"jiwoo, haewon, kyujin, cute, lily"
