video_id,video_title,comment_count,unique_authors,korean_rate,english_rate,top_member,top_member_count,top_keywords
gaMa4ohv_GQ,헤헤 #NMIXX #엔믹스 #지우 #JIWOO #규진 #KYUJIN,398,382,65.8,26.4,지우,78,"귀여, cute, 사랑, mixx, nmixx"
3fom7HRnxgU,Band & Studio rehearsal Behind EP.01 | NMIXX 1ST W,500,444,54.4,38.2,릴리,59,"mixx, nmixx, 엔믹스, 콘, love"
71D86ATwAbw,걘 아니야 #NMIXX #엔믹스 #설윤 #SULLYOON,417,410,64.0,28.5,설윤,78,"노래, 예쁘, beautiful, 얼굴, 라이브"
RBLWGLgmN18,NMIXX 1ST WORLD TOUR 'EPISODE 1: ZERO FRONTIER' IN,328,300,62.2,32.0,규진,6,"콘, mixx, nmixx, 엔믹스, 콘서트"
Wic3ddP1db0,"NMIXX(엔믹스) ""Blue Valentine (Holiday Ver.)"" & ""Funk",500,465,49.8,42.6,릴리,85,"mixx, nmixx, 엔믹스, look, 라이브"
KYm49bHBd38,야 김지우 너 따라와봐 #NMIXX #엔믹스 #해원 #HAEWON #지우 #JIWOO,500,494,72.6,23.6,해원,110,"귀여, 연기, 입, look, 예쁘"
VeJZx_-rMwM,NMIXX(엔믹스) ‘Funky Glitter Christmas’ Live Clip @NM,403,364,58.6,35.5,설윤,20,"live, mixx, nmixx, love, 행복"
iwhRN-JDKwo,"설윤의 우당탕탕 고향 방문🐶⚾️ | 여동생, 반려견 봄이와 힐링 산책 & 한화 이글스 시구",408,376,74.0,22.3,설윤,129,"cute, 영상, 자랑, 귀여, 팬"
cC96_Mwj5tU,NMIXX(엔믹스) ‘Papillon’ Live Clip @NMIXX 1ST WORLD T,500,467,48.8,43.4,해원,17,"live, mixx, nmixx, 무대, 엔믹스"
kbEYcW_ffjI,NMIXX(엔믹스) ‘High Horse’ Live Clip @NMIXX 1ST WORLD,500,454,40.8,52.6,규진,32,"live, mixx, nmixx, performance, 콘"
